"GS 16P";"1";""
"MPE 001-2-040-6";"1";""
"BKL 10120182";"1";""
"WSL 6W";"1";""
"KERKO-500 15P";"2";""
"RAD 1/63";"4";""
"X7R-5 100N";"13";""
"RND 135-00009";"3";""
"BS 170";"8";""
"D-SUB BU 09EU";"1";""
"WSL 10G";"2";""
"RND 135-00014";"8";""
"LF33ABV";"1";""
"16,0000-HC18";"1";""
"1/4W 240";"11";""
"1/4W 10K";"3";""
"M-A 1000U 16";"1";""
"ATMEGA 32L8 DIP";"1";""
"MAX 232 CPE";"1";""
"WSL 14W";"1";""
